route_code,route_name,route_destination,route_variant,sequence_number,stop_code,arrival_trigger_distance,departure_trigger_distance
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,1,57,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,2,60,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,3,62,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,4,64,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,5,66,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,6,50,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,7,48,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,8,46,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,9,44,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,10,42,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,11,40,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,12,38,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,13,36,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,14,34,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,15,32,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,16,30,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,17,28,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,18,136,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,19,138,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,20,140,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,21,142,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,22,144,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,23,206,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,24,208,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,25,310,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,26,212,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,27,214,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,28,216,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,29,218,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,30,292,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,31,268,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,32,302,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,33,304,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,34,306,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,35,270,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,1,38,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,2,36,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,3,34,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,4,32,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,5,30,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,6,28,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,7,136,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,8,138,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,9,140,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,10,142,,
