schedule_code,schedule_name,priority_weight,start_date,end_date,depot,bus_type,route_type
SP1S/A,Ring-1sh Ranasan Circle - Zundal Circle,,21/01/2023 00:00:00,20/01/2028 23:59:59,Acher Depot-MAM,A,AMTS
SP1S/B,Ring-1sh Ranasan Circle - Zundal Circle,,21/01/2023 00:00:00,20/01/2028 23:59:59,Acher Depot-MAM,A,AMTS
30/B,Maninagar - Karnavati Chowk-4 (New Narol),,21/01/2023 00:00:00,20/01/2028 23:59:59,Bhairavnath Depot-SAM,A,AMTS
1512/E,Nandej-Barejadi Gam - Maninagar,,21/01/2023 00:00:00,20/01/2028 23:59:59,Bhairavnath Depot-SAM,A,AMTS
143S/C,Kubadthal Gam - Sarangpur,,21/01/2023 00:00:00,20/01/2028 23:59:59,Sarangpur Depot,A,AMTS
28S/D,Indiranagar Vibhag-2 (Pani ni Tanki) - Sarangpur,,21/01/2023 00:00:00,20/01/2028 23:59:59,Memco Depot-SMT,A,AMTS
28/E,Lambha Gam - Meghaninagar,,21/01/2023 00:00:00,20/01/2028 23:59:59,Memco Depot-SMT,A,AMTS
56/1/B,Gujarat University-Sardar Party Plot(S.P.RingRoad) ,,21/01/2023 00:00:00,20/01/2028 23:59:59,Memco Depot 1-ARM,A,AMTS
70/C,Tapi Apartment - Chandlodiya Railway Station,,21/01/2023 00:00:00,20/01/2028 23:59:59,Nava Vadaj Depot - TCM,A,AMTS
70/D,Tapi Apartment - Chandlodiya Railway Station,,21/01/2023 00:00:00,20/01/2028 23:59:59,Nava Vadaj Depot - TCM,A,AMTS
88/G,Nikol Kathwada Ring Road - Ranip Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot - ADM,A,AMTS
105/P,Naroda Industrial Township(MuthiyaGam)-Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot - ADM,A,AMTS
105/Q,Naroda Industrial Township(MuthiyaGam)-Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot - ADM,A,AMTS
34/5/H,Kalapinagar - But Bhavani Mandir,,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot - ADM,A,AMTS
22/1/A,Bareja Eye Hospital - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Jamalpur Depot,A,AMTS
72/BSh,Godrejcity Phase-1 - Sahyadri Bunglows,,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot - ADM,A,AMTS
89/3/I,Chandkheda(Sarthi Bunglows)- Amraiwadi,,21/01/2023 00:00:00,20/01/2028 23:59:59,Acher Depot-MAM,A,AMTS
33/O,S.P.Ring Road (Odhav Gidc) - Vasna,,21/01/2023 00:00:00,20/01/2028 23:59:59,Sarangpur Depot,A,AMTS
33/P,S.P.Ring Road (Odhav Gidc) - Vasna,,21/01/2023 00:00:00,20/01/2028 23:59:59,Sarangpur Depot,A,AMTS
39/3/B,But Bhavani Mandir - Bhakti Circle,,21/01/2023 00:00:00,20/01/2028 23:59:59,Sarangpur Depot,A,AMTS
150/W,Chinubhainagar - Sarkhej Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Sarangpur Depot,A,AMTS
150/X,Chinubhainagar - Sarkhej Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Sarangpur Depot,A,AMTS
150/Y,Chinubhainagar - Sarkhej Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Sarangpur Depot,A,AMTS
150/Z,Chinubhainagar - Sarkhej Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Sarangpur Depot,A,AMTS
1513/I,Hatkeshwar Depo - Godhavi Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Bhairavnath Depot-SAM,A,AMTS
1513/J,Hatkeshwar Depo - Godhavi Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Bhairavnath Depot-SAM,A,AMTS
1514/B,Hatkeshwar Depo - Gujarat University,,21/01/2023 00:00:00,20/01/2028 23:59:59,Bhairavnath Depot-SAM,A,AMTS
1251/C,Dabhoda Gam - Sarangpur,,21/01/2023 00:00:00,20/01/2028 23:59:59,Sarangpur Depot,A,AMTS
148/D,Naroda - Sarangpur,,21/01/2023 00:00:00,20/01/2028 23:59:59,Sarangpur Depot,A,AMTS
123S/H,Sitarambapa Chowk (Gopal Chowk) - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Sarangpur Depot,A,AMTS
123S/I,Sitarambapa Chowk (Gopal Chowk) - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Sarangpur Depot,A,AMTS
123S/J,Sitarambapa Chowk (Gopal Chowk) - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Sarangpur Depot,A,AMTS
123S/K,Sitarambapa Chowk (Gopal Chowk) - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Sarangpur Depot,A,AMTS
202/E,Naroda - Vasna,,21/01/2023 00:00:00,20/01/2028 23:59:59,Memco Depot 1-ARM,A,AMTS
200/I,Maninagar - Maninagar,,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot - ADM,A,AMTS
711M/L,Moti Bhoyan Chokdi - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Sarangpur Depot,A,AMTS
711M/M,Moti Bhoyan Chokdi - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Sarangpur Depot,A,AMTS
711M/N,Moti Bhoyan Chokdi - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Sarangpur Depot,A,AMTS
711M/O,Moti Bhoyan Chokdi - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Sarangpur Depot,A,AMTS
52/2/A,Sattadhar Society - Maninagar,,21/01/2023 00:00:00,20/01/2028 23:59:59,Bhairavnath Depot-SAM,A,AMTS
52/2/B,Sattadhar Society - Maninagar,,21/01/2023 00:00:00,20/01/2028 23:59:59,Bhairavnath Depot-SAM,A,AMTS
52/2/C,Sattadhar Society - Maninagar,,21/01/2023 00:00:00,20/01/2028 23:59:59,Bhairavnath Depot-SAM,A,AMTS
72/O,Godrejcity Phase-1 - Sahyadri Bunglows,,21/01/2023 00:00:00,20/01/2028 23:59:59,Acher Depot,A,AMTS
72/P,Godrejcity Phase-1 - Sahyadri Bunglows,,21/01/2023 00:00:00,20/01/2028 23:59:59,Acher Depot,A,AMTS
150/A,Chinubhainagar - Sarkhej Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Sarangpur Depot,A,AMTS
150/B,Chinubhainagar - Sarkhej Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Sarangpur Depot,A,AMTS
22/1/B,Bareja Eye Hospital - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Jamalpur Depot,A,AMTS
160/A,Silver Oak University - Hatkeshwar Depo,,21/01/2023 00:00:00,20/01/2028 23:59:59,Bhairavnath Depot-SAM,A,AMTS
150/V,Chinubhainagar - Sarkhej Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Sarangpur Depot,A,AMTS
65/2/A,Arvind Polycoat (Khatraj) - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Ranip Depot-SMD,A,AMTS
65/2/B,Arvind Polycoat (Khatraj) - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot,A,AMTS
65/2/C,Arvind Polycoat (Khatraj) - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot,A,AMTS
65/2/D,Arvind Polycoat (Khatraj) - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot,A,AMTS
22/A,Indiranagar Vibhag-2 (Pani ni Tanki) - Tragad Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot,A,AMTS
22/B,Indiranagar Vibhag-2 (Pani ni Tanki) - Tragad Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot,A,AMTS
35/K,Rajoda Patiya - Sardarbag (Lal Darwaja),,21/01/2023 00:00:00,20/01/2028 23:59:59,Marwadi Depot,A,AMTS
35/L,Rajoda Patiya - Sardarbag (Lal Darwaja),,21/01/2023 00:00:00,20/01/2028 23:59:59,Marwadi Depot,A,AMTS
35/M,Rajoda Patiya - Sardarbag (Lal Darwaja),,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot,A,AMTS
40/2/E,Rajoda Patiya - Ranip Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Nava Vadaj Depot - TCM,A,AMTS
77/I,Dr.Shyamaprasad Mukharjee Chowk - Nava Vadaj,,21/01/2023 00:00:00,20/01/2028 23:59:59,Nava Vadaj Depot - TCM,A,AMTS
77/J,Dr.Shyamaprasad Mukharjee Chowk - Nava Vadaj,,21/01/2023 00:00:00,20/01/2028 23:59:59,Ranip Depot-SMD,A,AMTS
74/1/A,Kali Gam - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot,A,AMTS
85S/C,Chandkheda (Sarthi Bunglows) - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Nava Vadaj Depot - TCM,A,AMTS
75/I,Chandkheda (Sarthi Bunglows) - Maninagar,,21/01/2023 00:00:00,20/01/2028 23:59:59,Acher Depot,A,AMTS
75/J,Chandkheda (Sarthi Bunglows) - Maninagar,,21/01/2023 00:00:00,20/01/2028 23:59:59,Acher Depot,A,AMTS
123/C,Sitarambapa Chowk (Gopal Chowk) - Vasna,,21/01/2023 00:00:00,20/01/2028 23:59:59,Sarangpur Depot,A,AMTS
82/C,Gayatri Vidyalay - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Nava Vadaj Depot - TCM,A,AMTS
79/H,Godrej Garden City - Badrinarayan Society,,21/01/2023 00:00:00,20/01/2028 23:59:59,Marwadi Depot,A,AMTS
79/I,Godrej Garden City - Badrinarayan Society,,21/01/2023 00:00:00,20/01/2028 23:59:59,Acher Depot-MAM,A,AMTS
33/K,S.P.Ring Road (Odhav Gidc) - Vasna,,21/01/2023 00:00:00,20/01/2028 23:59:59,Sarangpur Depot,A,AMTS
33/L,S.P.Ring Road (Odhav Gidc) - Vasna,,21/01/2023 00:00:00,20/01/2028 23:59:59,Sarangpur Depot,A,AMTS
33/M,S.P.Ring Road (Odhav Gidc) - Vasna,,21/01/2023 00:00:00,20/01/2028 23:59:59,Sarangpur Depot,A,AMTS
33/N,S.P.Ring Road (Odhav Gidc) - Vasna,,21/01/2023 00:00:00,20/01/2028 23:59:59,Sarangpur Depot,A,AMTS
1521/A,Gatrad Gam - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Nava Vadaj Depot - TCM,A,AMTS
1521/B,Gatrad Gam - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Nava Vadaj Depot - TCM,A,AMTS
40/2/A,Rajoda Patiya - Ranip Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Nava Vadaj Depot - TCM,A,AMTS
40/2/B,Rajoda Patiya - Ranip Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Nava Vadaj Depot - TCM,A,AMTS
40/2/C,Rajoda Patiya - Ranip Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Nava Vadaj Depot - TCM,A,AMTS
40/2/D,Rajoda Patiya - Ranip Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Nava Vadaj Depot - TCM,A,AMTS
33/A,S.P.Ring Road (Odhav Gidc) - Vasna,,21/01/2023 00:00:00,20/01/2028 23:59:59,Sarangpur Depot,A,AMTS
33/B,S.P.Ring Road (Odhav Gidc) - Vasna,,21/01/2023 00:00:00,20/01/2028 23:59:59,Sarangpur Depot,A,AMTS
