schedule_code,schedule_for_route_code,route_code,route_name,route_destination,route_variant,first_stop_code,last_stop_code,start_time,stop_time,run_code,duty_code,is_halfway,shift_type
SP-1/A,5383915,SP1-AS-U,Aslali Circle - S.T.,S.T. Stand,NORMAL,9984,3908,19:40:00,20:25:00,SP-1/A,SP-1/A-G,0,General Shift
SP-1/B,5383924,SP1-AS-U,Aslali Circle - S.T.,S.T. Stand,NORMAL,9984,3908,20:10:00,20:55:00,SP-1/B,SP-1/B-G,0,General Shift
SP-1/C,5383940,SP1-AS-U,Aslali Circle - S.T.,S.T. Stand,NORMAL,9984,3908,20:40:00,21:25:00,SP-1/C,SP-1/C-G,0,General Shift
SP-1/D,5383975,SP1-AS-U,Aslali Circle - S.T.,S.T. Stand,NORMAL,9984,3908,21:10:00,21:55:00,SP-1/D,SP-1/D-G,0,General Shift
SP-1/E,5384003,SP1-AS-U,Aslali Circle - S.T.,S.T. Stand,NORMAL,9984,3908,21:40:00,22:25:00,SP-1/E,SP-1/E-G,0,General Shift
SP1S/A,5384010,SP1sh-D,Zundal Circle - Ranasan Circle,Ranasan Circle,NORMAL,5842,5824,7:10:00,7:40:00,SP1S/A,SP1S/A-G,0,General Shift
SP1S/A,5384037,SP1sh-U,Ranasan Circle - Zundal Circle,Zundal Circle,NORMAL,5823,5841,7:40:00,8:15:00,SP1S/A,SP1S/A-G,0,General Shift
SP1S/A,5384044,SP1sh-D,Zundal Circle - Ranasan Circle,Ranasan Circle,NORMAL,5842,5824,8:15:00,8:50:00,SP1S/A,SP1S/A-G,0,General Shift
SP1S/A,5384086,SP1sh-U,Ranasan Circle - Zundal Circle,Zundal Circle,NORMAL,5823,5841,8:50:00,9:25:00,SP1S/A,SP1S/A-G,0,General Shift
SP1S/A,5384175,SP1sh-D,Zundal Circle - Ranasan Circle,Ranasan Circle,NORMAL,5842,5824,9:25:00,10:05:00,SP1S/A,SP1S/A-G,0,General Shift
SP1S/A,5384196,SP1sh-U,Ranasan Circle - Zundal Circle,Zundal Circle,NORMAL,5823,5841,10:05:00,10:45:00,SP1S/A,SP1S/A-G,0,General Shift
33/A,5384197,33-MV-D,Sarangpur Darwaja - Vasna,Vasna,NORMAL,1844,1598,5:45:00,6:30:00,33/A,33/A-F,0,First Shift
33/A,5384198,33-U,Vasna - S.P.Ring Road (Odhav Gidc),S.P.Ring Road (Odhav Gidc),NORMAL,1286,4133,10:30:00,12:20:00,33/A,33/A-F,0,First Shift
33/A,5384199,33-SL-D,S.P.Ring Road (Odhav Gidc) - Sarangpur Darwaja,Sarangpur,NORMAL,4909,1844,12:20:00,13:05:00,33/A,33/A-F,0,First Shift
33/A,5384200,33-MV-D,Sarangpur Darwaja - Vasna,Vasna,NORMAL,1844,1598,13:35:00,14:35:00,33/A,33/A-S,0,Second Shift 
33/B,5384201,33-MV-D,Sarangpur Darwaja - Vasna,Vasna,NORMAL,1844,1598,6:10:00,6:55:00,33/B,33/B-F,0,First Shift
33/C,5384202,33-SL-D,S.P.Ring Road (Odhav Gidc) - Sarangpur Darwaja,Sarangpur,NORMAL,4909,1844,13:20:00,14:10:00,33/C,33/C-F,0,First Shift
33/F,5384203,33-SL-D,S.P.Ring Road (Odhav Gidc) - Sarangpur Darwaja,Sarangpur,NORMAL,4909,1844,15:15:00,15:50:00,33/F,33/F-F,0,First Shift
33/I,5384204,33-LS-U,Sarangpur - S.P.Ring Road (Odhav Gidc),S.P.Ring Road (Odhav Gidc),NORMAL,1204,4133,14:05:00,14:45:00,33/I,33/I-S,0,Second Shift 
33/L,5384205,33-VM-U,Vasna -Sarangpur Darwaja,Sarangpur,NORMAL,1286,1204,13:55:00,14:45:00,33/L,33/L-F,0,First Shift
33/J,5384206,33-LS-U,Sarangpur - S.P.Ring Road (Odhav Gidc),S.P.Ring Road (Odhav Gidc),NORMAL,1204,4133,14:20:00,15:00:00,33/J,33/J-S,0,Second Shift 
33/K,5384207,33-VM-U,Vasna -Sarangpur Darwaja,Sarangpur,NORMAL,1286,1204,21:45:00,22:35:00,33/K,33/K-S,0,Second Shift 
33/L,5384208,33-VM-U,Vasna -Sarangpur Darwaja,Sarangpur,NORMAL,1286,1204,22:00:00,22:55:00,33/L,33/L-S,0,Second Shift 
33/K,5384209,33-VM-U,Vasna -Sarangpur Darwaja,Sarangpur,NORMAL,1286,1204,13:30:00,14:15:00,33/K,33/K-F,0,First Shift
77/H,5384210,77-D,Dr.Shyamaprasad Mukharjee Chowk - Nava Vadaj,Nava Vadaj,NORMAL,2253,2082,12:35:00,13:50:00,77/H,77/H-G,0,General Shift
