station_code  stop_code                                     stop_name  short_stop_name stop_type  arrival_trigger_distance  departure_trigger_distance                    position stop_variant
          29        317                                     Maninagar              NaN      BRTS                       NaN                         NaN POINT (72.611414 22.997728)       NORMAL
         140        319                                    Naroda Gam              NaN      BRTS                       NaN                         NaN  POINT (72.65583 23.077071)       NORMAL
         144        320                                  Sola Bhagwat              NaN      BRTS                       NaN                         NaN POINT (72.527832 23.086194)       NORMAL
           1        318                                  R.T.O Circle              NaN      BRTS                       NaN                         NaN POINT (72.581127 23.068423)       NORMAL
         147        321                            Kalupur Ghee Bazar              NaN      BRTS                       NaN                         NaN  POINT (72.59989 23.031391)       NORMAL
          26        322              Kankariya Lake Shukla Dada Chowk              NaN      BRTS                       NaN                         NaN POINT (72.598894 23.003216)       NORMAL
          94        323                               R.T.O Extension              NaN      BRTS                       NaN                         NaN POINT (72.581418 23.068932)       NORMAL
         136        324               Vishvakarma Engineering College              NaN      BRTS                       NaN                         NaN POINT (72.596594 23.104972)       NORMAL
          50         99                                Rameshwar Park              NaN      BRTS                       NaN                         NaN POINT (72.638514 23.013526)       NORMAL
         161        800                               Gota Cross Road              NaN      BRTS                       NaN                         NaN POINT (72.531696 23.098721)       NORMAL
         161        801                               Gota Cross Road              NaN      BRTS                       NaN                         NaN POINT (72.531725 23.098709)       NORMAL
           1          1                                  R.T.O Circle              NaN      BRTS                       NaN                         NaN POINT (72.581219 23.068241)       NORMAL
           2          3                              Ranip Cross Road              NaN      BRTS                       NaN                         NaN POINT (72.575648 23.067603)       NORMAL
           2          4                              Ranip Cross Road              NaN      BRTS                       NaN                         NaN POINT (72.575711 23.067658)       NORMAL
           3          5                                Bhavsar Hostel              NaN      BRTS                       NaN                         NaN POINT (72.568599 23.067575)       NORMAL
           3          6                                Bhavsar Hostel              NaN      BRTS                       NaN                         NaN POINT (72.568658 23.067628)       NORMAL
           4          7                                   Akhbarnagar              NaN      BRTS                       NaN                         NaN POINT (72.563763 23.067515)       NORMAL
           4          8                                   Akhbarnagar              NaN      BRTS                       NaN                         NaN POINT (72.563817 23.067571)       NORMAL
           5          9                                  Pragatinagar              NaN      BRTS                       NaN                         NaN POINT (72.556035 23.064584)       NORMAL
           5         10                                  Pragatinagar              NaN      BRTS                       NaN                         NaN POINT (72.556055 23.064658)       NORMAL
           6         11                                  Shastrinagar              NaN      BRTS                       NaN                         NaN POINT (72.552973 23.062166)       NORMAL
           6         12                                  Shastrinagar              NaN      BRTS                       NaN                         NaN POINT (72.552978 23.062237)       NORMAL
           7         13                                     Jaimangal              NaN      BRTS                       NaN                         NaN POINT (72.549326 23.057561)       NORMAL
           7         14                                     Jaimangal              NaN      BRTS                       NaN                         NaN POINT (72.549314 23.057637)       NORMAL
           8         15                               Sola Cross Road              NaN      BRTS                       NaN                         NaN POINT (72.546818 23.052638)       NORMAL
           8         16                               Sola Cross Road              NaN      BRTS                       NaN                         NaN  POINT (72.546783 23.05273)       NORMAL
           9         17                          Shree Valinath Chowk              NaN      BRTS                       NaN                         NaN POINT (72.545003 23.049123)       NORMAL
           9         18                          Shree Valinath Chowk              NaN      BRTS                       NaN                         NaN POINT (72.545004 23.049212)       NORMAL
          10         19                                      Memnagar              NaN      BRTS                       NaN                         NaN POINT (72.542414 23.045498)       NORMAL
          10         20                                      Memnagar              NaN      BRTS                       NaN                         NaN POINT (72.542425 23.045608)       NORMAL
          11         21                                    University              NaN      BRTS                       NaN                         NaN POINT (72.538542 23.039652)       NORMAL
          11         22                                    University              NaN      BRTS                       NaN                         NaN POINT (72.538544 23.039761)       NORMAL
          12         23                                Andhjan Mandal              NaN      BRTS                       NaN                         NaN POINT (72.536006 23.034618)       NORMAL
          12         24                                Andhjan Mandal              NaN      BRTS                       NaN                         NaN POINT (72.535978 23.034681)       NORMAL
          13         25                                Himmatlal Park              NaN      BRTS                       NaN                         NaN POINT (72.532415 23.029749)       NORMAL
          13         26                                Himmatlal Park              NaN      BRTS                       NaN                         NaN POINT (72.532396 23.029814)       NORMAL
          14         27                                   Shivranjani              NaN      BRTS                       NaN                         NaN  POINT (72.531305 23.02433)       NORMAL
          14         28                                   Shivranjani              NaN      BRTS                       NaN                         NaN POINT (72.531232 23.024282)       NORMAL
          15         29                                Jhansi Ki Rani              NaN      BRTS                       NaN                         NaN POINT (72.536349 23.023044)       NORMAL
          15         30                                Jhansi Ki Rani              NaN      BRTS                       NaN                         NaN POINT (72.536272 23.023012)       NORMAL
          16         31                                    Nehrunagar              NaN      BRTS                       NaN                         NaN POINT (72.541715 23.022555)       NORMAL
          16         32                                    Nehrunagar              NaN      BRTS                       NaN                         NaN POINT (72.541626 23.022509)       NORMAL
          17         33                                     Manekbaug              NaN      BRTS                       NaN                         NaN POINT (72.544056 23.018266)       NORMAL
          17         34                                     Manekbaug              NaN      BRTS                       NaN                         NaN POINT (72.543989 23.018319)       NORMAL
          18         35                            Dharnidhar Derasar              NaN      BRTS                       NaN                         NaN POINT (72.549301 23.008206)       NORMAL
          18         36                            Dharnidhar Derasar              NaN      BRTS                       NaN                         NaN POINT (72.549213 23.008215)       NORMAL
          19         37                                        Anjali              NaN      BRTS                       NaN                         NaN  POINT (72.55392 23.003687)       NORMAL
          19         38                                        Anjali              NaN      BRTS                       NaN                         NaN POINT (72.553843 23.003689)       NORMAL
          20         39                                  Chandranagar              NaN      BRTS                       NaN                         NaN POINT (72.558125 22.999757)       NORMAL
          20         40                                  Chandranagar              NaN      BRTS                       NaN                         NaN POINT (72.558034 22.999754)       NORMAL
          21         41                                 Khodiyarnagar              NaN      BRTS                       NaN                         NaN POINT (72.570477 22.995685)       NORMAL
          21         42                                 Khodiyarnagar              NaN      BRTS                       NaN                         NaN  POINT (72.570423 22.99548)       NORMAL
          22         43                          Danilimda Char Rasta              NaN      BRTS                       NaN                         NaN POINT (72.577655 22.996683)       NORMAL
          22         44                          Danilimda Char Rasta              NaN      BRTS                       NaN                         NaN POINT (72.577389 22.996454)       NORMAL
          23         45                          Vaikunth Dham Mandir              NaN      BRTS                       NaN                         NaN POINT (72.582908 22.999847)       NORMAL
          23         46                          Vaikunth Dham Mandir              NaN      BRTS                       NaN                         NaN POINT (72.582907 22.999793)       NORMAL
          24         47                          Swaminarayan College              NaN      BRTS                       NaN                         NaN POINT (72.587096 23.001416)       NORMAL
          24         48                          Swaminarayan College              NaN      BRTS                       NaN                         NaN POINT (72.587073 23.001365)       NORMAL
          25         49                  Kankariya Telephone Exchange              NaN      BRTS                       NaN                         NaN  POINT (72.59286 23.002433)       NORMAL
          25         50                  Kankariya Telephone Exchange              NaN      BRTS                       NaN                         NaN POINT (72.592839 23.002379)       NORMAL
          26         51              Kankariya Lake Shukla Dada Chowk              NaN      BRTS                       NaN                         NaN  POINT (72.598896 23.00323)       NORMAL
          27         53                                       Rambaug              NaN      BRTS                       NaN                         NaN  POINT (72.600643 22.99988)       NORMAL
