 Company_Code Route_Code  Start_Stage  Moved_Stage  Fare_Amount  Card_Type_Code
          103       FFFF            1            0          300               0
          103       FFFF            1            1          700               0
          103       FFFF            2            0          300               0
          103       FFFF            1            2          900               0
          103       FFFF            2            1          700               0
          103       FFFF            3            0          300               0
          103       FFFF            1            3         1100               0
          103       FFFF            2            2          900               0
          103       FFFF            3            1          700               0
          103       FFFF            4            0          300               0
          103       FFFF            1            4         1200               0
          103       FFFF            2            3         1100               0
          103       FFFF            3            2          900               0
          103       FFFF            4            1          700               0
          103       FFFF            5            0          300               0
          103       FFFF            1            5         1300               0
          103       FFFF            2            4         1200               0
          103       FFFF            3            3         1100               0
          103       FFFF            4            2          900               0
          103       FFFF            5            1          700               0
          103       FFFF            6            0          300               0
          103       FFFF            1            6         1300               0
          103       FFFF            2            5         1300               0
          103       FFFF            3            4         1200               0
          103       FFFF            4            3         1100               0
          103       FFFF            5            2          900               0
          103       FFFF            6            1          700               0
          103       FFFF            7            0          300               0
          103       FFFF            1            7         1500               0
          103       FFFF            2            6         1300               0
          103       FFFF            3            5         1300               0
          103       FFFF            4            4         1200               0
          103       FFFF            5            3         1100               0
          103       FFFF            6            2          900               0
          103       FFFF            7            1          700               0
          103       FFFF            8            0          300               0
          103       FFFF            1            8         1500               0
          103       FFFF            2            7         1500               0
          103       FFFF            3            6         1300               0
          103       FFFF            4            5         1300               0
          103       FFFF            5            4         1200               0
          103       FFFF            6            3         1100               0
          103       FFFF            7            2          900               0
          103       FFFF            8            1          700               0
          103       FFFF            9            0          300               0
          103       FFFF            1            9         1700               0
          103       FFFF            2            8         1500               0
          103       FFFF            3            7         1500               0
          103       FFFF            4            6         1300               0
          103       FFFF            5            5         1300               0
          103       FFFF            6            4         1200               0
          103       FFFF            7            3         1100               0
          103       FFFF            8            2          900               0
          103       FFFF            9            1          700               0
          103       FFFF           10            0          300               0
          103       FFFF            1           10         1700               0
          103       FFFF            2            9         1700               0
          103       FFFF            3            8         1500               0
          103       FFFF            4            7         1500               0
          103       FFFF            5            6         1300               0
          103       FFFF            6            5         1300               0
          103       FFFF            7            4         1200               0
          103       FFFF            8            3         1100               0
          103       FFFF            9            2          900               0
          103       FFFF           10            1          700               0
          103       FFFF           11            0          300               0
          103       FFFF            1           11         1800               0
          103       FFFF            2           10         1700               0
          103       FFFF            3            9         1700               0
          103       FFFF            4            8         1500               0
          103       FFFF            5            7         1500               0
          103       FFFF            6            6         1300               0
          103       FFFF            7            5         1300               0
          103       FFFF            8            4         1200               0
          103       FFFF            9            3         1100               0
          103       FFFF           10            2          900               0
          103       FFFF           11            1          700               0
          103       FFFF           12            0          300               0
          103       FFFF            1           12         1800               0
          103       FFFF            2           11         1800               0
          103       FFFF            3           10         1700               0
          103       FFFF            4            9         1700               0
          103       FFFF            5            8         1500               0
          103       FFFF            6            7         1500               0
          103       FFFF            7            6         1300               0
          103       FFFF            8            5         1300               0
          103       FFFF            9            4         1200               0
          103       FFFF           10            3         1100               0
          103       FFFF           11            2          900               0
          103       FFFF           12            1          700               0
          103       FFFF           13            0          300               0
          103       FFFF            1           13         2000               0
          103       FFFF            2           12         1800               0
          103       FFFF            3           11         1800               0
          103       FFFF            4           10         1700               0
          103       FFFF            5            9         1700               0
          103       FFFF            6            8         1500               0
          103       FFFF            7            7         1500               0
          103       FFFF            8            6         1300               0
          103       FFFF            9            5         1300               0
          103       FFFF           10            4         1200               0
          103       FFFF           11            3         1100               0
          103       FFFF           12            2          900               0
          103       FFFF           13            1          700               0
          103       FFFF           14            0          300               0
          103       FFFF            1           14         2000               0
          103       FFFF            2           13         2000               0
          103       FFFF            3           12         1800               0
          103       FFFF            4           11         1800               0
          103       FFFF            5           10         1700               0
          103       FFFF            6            9         1700               0
          103       FFFF            7            8         1500               0
          103       FFFF            8            7         1500               0
          103       FFFF            9            6         1300               0
          103       FFFF           10            5         1300               0
          103       FFFF           11            4         1200               0
          103       FFFF           12            3         1100               0
          103       FFFF           13            2          900               0
          103       FFFF           14            1          700               0
          103       FFFF           15            0          300               0
          103       FFFF            1           15         2000               0
          103       FFFF            2           14         2000               0
          103       FFFF            3           13         2000               0
          103       FFFF            4           12         1800               0
          103       FFFF            5           11         1800               0
          103       FFFF            6           10         1700               0
          103       FFFF            7            9         1700               0
          103       FFFF            8            8         1500               0
          103       FFFF            9            7         1500               0
          103       FFFF           10            6         1300               0
          103       FFFF           11            5         1300               0
          103       FFFF           12            4         1200               0
          103       FFFF           13            3         1100               0
          103       FFFF           14            2          900               0
          103       FFFF           15            1          700               0
          103       FFFF           16            0          300               0
          103       FFFF            1           16         2200               0
          103       FFFF            2           15         2000               0
          103       FFFF            3           14         2000               0
          103       FFFF            4           13         2000               0
          103       FFFF            5           12         1800               0
          103       FFFF            6           11         1800               0
          103       FFFF            7           10         1700               0
          103       FFFF            8            9         1700               0
          103       FFFF            9            8         1500               0
          103       FFFF           10            7         1500               0
          103       FFFF           11            6         1300               0
          103       FFFF           12            5         1300               0
          103       FFFF           13            4         1200               0
          103       FFFF           14            3         1100               0
          103       FFFF           15            2          900               0
          103       FFFF           16            1          700               0
          103       FFFF           17            0          300               0
          103       FFFF            1           17         2200               0
          103       FFFF            2           16         2200               0
          103       FFFF            3           15         2000               0
          103       FFFF            4           14         2000               0
          103       FFFF            5           13         2000               0
          103       FFFF            6           12         1800               0
          103       FFFF            7           11         1800               0
          103       FFFF            8           10         1700               0
          103       FFFF            9            9         1700               0
          103       FFFF           10            8         1500               0
          103       FFFF           11            7         1500               0
          103       FFFF           12            6         1300               0
          103       FFFF           13            5         1300               0
          103       FFFF           14            4         1200               0
          103       FFFF           15            3         1100               0
          103       FFFF           16            2          900               0
          103       FFFF           17            1          700               0
          103       FFFF           18            0          300               0
          103       FFFF            1           18         2200               0
          103       FFFF            2           17         2200               0
          103       FFFF            3           16         2200               0
          103       FFFF            4           15         2000               0
          103       FFFF            5           14         2000               0
          103       FFFF            6           13         2000               0
          103       FFFF            7           12         1800               0
          103       FFFF            8           11         1800               0
          103       FFFF            9           10         1700               0
          103       FFFF           10            9         1700               0
          103       FFFF           11            8         1500               0
          103       FFFF           12            7         1500               0
          103       FFFF           13            6         1300               0
          103       FFFF           14            5         1300               0
          103       FFFF           15            4         1200               0
          103       FFFF           16            3         1100               0
          103       FFFF           17            2          900               0
          103       FFFF           18            1          700               0
          103       FFFF           19            0          300               0
          103       FFFF            1           19         2300               0
          103       FFFF            2           18         2200               0
          103       FFFF            3           17         2200               0
          103       FFFF            4           16         2200               0
          103       FFFF            5           15         2000               0
          103       FFFF            6           14         2000               0
          103       FFFF            7           13         2000               0
          103       FFFF            8           12         1800               0
          103       FFFF            9           11         1800               0
          103       FFFF           10           10         1700               0
          103       FFFF           11            9         1700               0
          103       FFFF           12            8         1500               0
          103       FFFF           13            7         1500               0
          103       FFFF           14            6         1300               0
          103       FFFF           15            5         1300               0
          103       FFFF           16            4         1200               0
          103       FFFF           17            3         1100               0
          103       FFFF           18            2          900               0
          103       FFFF           19            1          700               0
          103       FFFF           20            0          300               0
